ElementID,Type,Volume,Sxx,Syy,Szz,Sxy,Sxz,Syz,Exx,Eyy,Ezz,Exy,Exz,Eyz
206,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
207,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
208,C3D8,0.327084,0,0,0,0,0,0,0,0,0,0,0,0
209,C3D8,0.327088,0,0,0,0,0,0,0,0,0,0,0,0
210,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
211,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
212,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
213,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
214,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
215,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
216,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
217,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
218,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
219,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
220,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
221,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
222,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
223,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
224,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
225,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
226,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
227,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
228,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
229,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
230,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
231,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
232,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
233,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
234,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
235,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
236,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
237,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
238,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
239,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
240,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
241,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
242,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
243,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
244,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
245,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
246,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
247,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
248,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
249,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
250,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
251,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
252,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
253,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
